,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD),time_frame,symbol
20399,2021-07-02,331.95,369.04,307.0,368.5,331.95,369.04,307.0,368.5,137314.07381,137314.07381,daily,COMP
20400,2021-07-01,338.19,356.96,319.42,332.0,338.19,356.96,319.42,332.0,152766.62672,152766.62672,daily,COMP
20401,2021-06-30,311.03,338.51,285.0,338.19,311.03,338.51,285.0,338.19,95691.94128,95691.94128,daily,COMP
20402,2021-06-29,312.17,330.0,307.37,310.87,312.17,330.0,307.37,310.87,115906.48631,115906.48631,daily,COMP
20403,2021-06-28,257.4,319.32,248.79,311.92,257.4,319.32,248.79,311.92,213656.49067,213656.49067,daily,COMP
20404,2021-06-27,225.35,257.79,223.35,257.39,225.35,257.79,223.35,257.39,57464.63612,57464.63612,daily,COMP
20405,2021-06-26,222.06,229.4,211.34,225.47,222.06,229.4,211.34,225.47,50316.03626,50316.03626,daily,COMP
20406,2021-06-25,256.63,260.89,221.17,222.07,256.63,260.89,221.17,222.07,46947.49811,46947.49811,daily,COMP
20407,2021-06-24,242.14,260.41,227.17,256.49,242.14,260.41,227.17,256.49,57910.6398,57910.6398,daily,COMP
20408,2021-06-23,235.05,270.94,224.52,241.97,235.05,270.94,224.52,241.97,80852.02679,80852.02679,daily,COMP
20409,2021-06-22,221.91,247.85,196.46,235.05,221.91,247.85,196.46,235.05,92715.09172,92715.09172,daily,COMP
20410,2021-06-21,293.66,295.93,220.6,222.11,293.66,295.93,220.6,222.11,61032.7213,61032.7213,daily,COMP
20411,2021-06-20,272.71,300.0,259.57,293.66,272.71,300.0,259.57,293.66,38030.91887,38030.91887,daily,COMP
20412,2021-06-19,278.78,287.32,271.2,272.79,278.78,287.32,271.2,272.79,16835.76207,16835.76207,daily,COMP
20413,2021-06-18,306.76,308.91,265.02,278.92,306.76,308.91,265.02,278.92,36375.87406,36375.87406,daily,COMP
20414,2021-06-17,305.58,323.96,296.72,306.59,305.58,323.96,296.72,306.59,22621.63898,22621.63898,daily,COMP
20415,2021-06-16,325.26,325.26,300.93,305.87,325.26,325.26,300.93,305.87,31171.97042,31171.97042,daily,COMP
20416,2021-06-15,336.84,349.0,321.43,325.71,336.84,349.0,321.43,325.71,36166.61352,36166.61352,daily,COMP
20417,2021-06-14,324.22,343.18,317.39,336.49,324.22,343.18,317.39,336.49,39367.04161,39367.04161,daily,COMP
20418,2021-06-13,296.17,330.6,284.6,324.15,296.17,330.6,284.6,324.15,31574.20351,31574.20351,daily,COMP
20419,2021-06-12,294.97,306.36,278.66,295.83,294.97,306.36,278.66,295.83,40801.8253,40801.8253,daily,COMP
20420,2021-06-11,327.88,331.17,292.02,295.06,327.88,331.17,292.02,295.06,29755.65909,29755.65909,daily,COMP
20421,2021-06-10,363.88,365.48,320.56,327.82,363.88,365.48,320.56,327.82,46351.46183,46351.46183,daily,COMP
20422,2021-06-09,350.34,380.0,328.77,363.88,350.34,380.0,328.77,363.88,54204.13574,54204.13574,daily,COMP
20423,2021-06-08,343.0,352.09,308.0,350.34,343.0,352.09,308.0,350.34,50367.34227,50367.34227,daily,COMP
20424,2021-06-07,388.3,412.38,341.0,343.2,388.3,412.38,341.0,343.2,37864.11676,37864.11676,daily,COMP
20425,2021-06-06,387.2,395.18,377.23,388.28,387.2,395.18,377.23,388.28,20133.04858,20133.04858,daily,COMP
20426,2021-06-05,401.08,418.0,376.8,387.34,401.08,418.0,376.8,387.34,28014.70153,28014.70153,daily,COMP
20427,2021-06-04,449.26,449.67,383.46,401.7,449.26,449.67,383.46,401.7,44728.14774,44728.14774,daily,COMP
20428,2021-06-03,434.06,453.78,425.45,449.62,434.06,453.78,425.45,449.62,33579.27622,33579.27622,daily,COMP
20429,2021-06-02,427.23,459.64,412.78,434.95,427.23,459.64,412.78,434.95,32305.99808,32305.99808,daily,COMP
20430,2021-06-01,435.65,439.83,406.73,426.79,435.65,439.83,406.73,426.79,34263.69216,34263.69216,daily,COMP
20431,2021-05-31,405.51,437.47,381.57,435.51,405.51,437.47,381.57,435.51,42615.31216,42615.31216,daily,COMP
