timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-09-05,138212.07315000,138605.76433500,135679.58221500,136806.06282000,20000.30000000,20057.27000000,19633.83000000,19796.84000000,222543.01057000,222543.01057000
2022-09-04,137052.14572500,138411.99391500,135329.01255000,138212.07315000,19832.45000000,20029.23000000,19583.10000000,20000.30000000,145588.77893000,145588.77893000
2022-09-03,137871.24729000,138596.50426500,135810.12156000,137048.34495000,19950.98000000,20055.93000000,19652.72000000,19831.90000000,146639.03204000,146639.03204000
2022-09-02,139126.60872000,141259.32723000,136518.93154500,137877.32853000,20132.64000000,20441.26000000,19755.29000000,19951.86000000,245986.60330000,245986.60330000
2022-09-01,138544.74462000,139649.94088500,135208.49343000,139118.45433000,20048.44000000,20208.37000000,19565.66000000,20131.46000000,245289.97263000,245289.97263000
2022-08-31,136917.94381500,141596.14500000,136813.66437000,138555.66321000,19813.03000000,20490.00000000,19797.94000000,20050.02000000,276946.60765000,276946.60765000
2022-08-30,140194.69560000,142192.17562500,135031.17000000,136908.47643000,20287.20000000,20576.25000000,19540.00000000,19811.66000000,256634.35529000,256634.35529000
2022-08-29,135139.04290500,141206.53101000,135105.73429500,140184.53716500,19555.61000000,20433.62000000,19550.79000000,20285.73000000,210509.49545000,210509.49545000
2022-08-28,138469.83480000,139392.93939000,134892.96000000,135139.04290500,20037.60000000,20171.18000000,19520.00000000,19555.61000000,139307.95976000,139307.95976000
2022-08-27,139862.57697000,140994.44776500,136827.90000000,138469.83480000,20239.14000000,20402.93000000,19800.00000000,20037.60000000,162582.46032000,162582.46032000
2022-08-26,148983.74592000,151248.52408500,138955.64295000,139875.77602500,21559.04000000,21886.77000000,20107.90000000,20241.05000000,273811.61955000,273811.61955000
2022-08-25,147663.90952500,150786.28074000,147263.79157500,148983.74592000,21368.05000000,21819.88000000,21310.15000000,21559.04000000,169915.78301000,169915.78301000
2022-08-24,148776.91465500,151339.95000000,146122.52250000,147664.11684000,21529.11000000,21900.00000000,21145.00000000,21368.08000000,174383.22046000,174383.22046000
2022-08-23,147889.88287500,149853.29413500,144361.31247000,148776.98376000,21400.75000000,21684.87000000,20890.14000000,21529.12000000,200967.77164000,200967.77164000
2022-08-22,148691.15535000,148912.36045500,144361.58889000,147883.52521500,21516.70000000,21548.71000000,20890.18000000,21399.83000000,222222.04526000,222222.04526000
2022-08-21,146088.45373500,150648.90000000,145598.08465500,148683.62290500,21140.07000000,21800.00000000,21069.11000000,21515.61000000,159200.68410000,159200.68410000
2022-08-20,143976.05209500,147766.18492500,143475.10995000,146088.45373500,20834.39000000,21382.85000000,20761.90000000,21140.07000000,183041.68363000,183041.68363000
2022-08-19,160264.51522500,160383.51403500,143624.86048500,143976.05209500,23191.45000000,23208.67000000,20783.57000000,20834.39000000,283995.87747000,283995.87747000
2022-08-18,161309.45193000,163087.80000000,159708.84192000,160262.78760000,23342.66000000,23600.00000000,23111.04000000,23191.20000000,144185.97011000,144185.97011000
2022-08-17,164857.92457500,168938.98945500,160188.15420000,161309.45193000,23856.15000000,24446.71000000,23180.40000000,23342.66000000,210668.68766000,210668.68766000
2022-08-16,166494.95292000,167562.27964500,163579.96581000,164848.18077000,24093.04000000,24247.49000000,23671.22000000,23854.74000000,179324.94821000,179324.94821000
2022-08-15,167961.43012500,174222.82686000,164284.83681000,166507.25361000,24305.25000000,25211.32000000,23773.22000000,24094.82000000,242539.54758000,242539.54758000
2022-08-14,168913.76613000,173091.16338000,166847.11200000,167961.36102000,24443.06000000,25047.56000000,24144.00000000,24305.24000000,151206.14473000,151206.14473000
2022-08-13,168627.94785000,171988.52400000,167864.47581000,168902.15649000,24401.70000000,24888.00000000,24291.22000000,24441.38000000,152852.25435000,152852.25435000
2022-08-12,165389.61844500,169006.64325000,162970.32150000,168641.63064000,23933.09000000,24456.50000000,23583.00000000,24403.68000000,174207.57040000,174207.57040000
2022-08-11,165534.46252500,172199.57067000,164830.14436500,165398.60209500,23954.05000000,24918.54000000,23852.13000000,23934.39000000,249759.79557000,249759.79557000
2022-08-10,159987.19686000,167413.77300000,156624.34024500,165534.46252500,23151.32000000,24226.00000000,22664.69000000,23954.05000000,208916.54953000,208916.54953000
2022-08-09,164545.77729000,165390.72412500,158008.58250000,159977.72947500,23810.98000000,23933.25000000,22865.00000000,23149.95000000,143182.50858000,143182.50858000
2022-08-08,160146.62209500,167545.07250000,160007.44462500,164539.00500000,23174.39000000,24245.00000000,23154.25000000,23810.00000000,170958.44152000,170958.44152000
2022-08-07,158625.06820500,161719.52100000,157867.74651000,160146.62209500,22954.21000000,23402.00000000,22844.62000000,23174.39000000,88890.00877000,88890.00877000
2022-08-06,161108.35638000,161390.30478000,158316.23796000,158625.06820500,23313.56000000,23354.36000000,22909.52000000,22954.21000000,83911.80307000,83911.80307000
2022-08-05,156332.16430500,162209.19903000,156087.11797500,161100.47841000,22622.41000000,23472.86000000,22586.95000000,23312.42000000,175251.69749000,175251.69749000
2022-08-04,157676.25655500,160484.75286000,154795.20000000,156336.10329000,22816.91000000,23223.32000000,22400.00000000,22622.98000000,154854.67016000,154854.67016000
2022-08-03,158844.26926500,163417.29264000,156738.57081000,157686.34588500,22985.93000000,23647.68000000,22681.22000000,22818.37000000,145948.80995000,145948.80995000
2022-08-02,160785.91245000,162119.56984500,156553.02388500,158857.12279500,23266.90000000,23459.89000000,22654.37000000,22987.79000000,158073.28225000,158073.28225000
2022-08-01,160989.49578000,162463.64364000,157904.92500000,160793.58310500,23296.36000000,23509.68000000,22850.00000000,23268.01000000,144210.16219000,144210.16219000
2022-07-31,163396.28472000,167198.30361000,160512.32575500,160968.48786000,23644.64000000,24194.82000000,23227.31000000,23293.32000000,127743.32483000,127743.32483000
2022-07-30,164312.89344000,170468.21400000,162412.29862500,163388.47585500,23777.28000000,24668.00000000,23502.25000000,23643.51000000,151060.13211000,151060.13211000
